trial_id,status,duration_s,cfg_bits,cfg_hidden_dim,cfg_layer_idx,cfg_layer_position,cfg_model,cfg_num_layers,metric_cosine_similarity,metric_kl_divergence,metric_mse,metric_outlier_pct,metric_sensitivity,metric_weight_range,metric_weight_std
quantization_sensitivity_t0091,completed,0.3920,2,1024,3,0.125,24L-1024H,24,-0.014848808757960796,0.029986480250954628,2.029691219329834,0.27140378952026367,1.0148488087579608,0.23040607571601868,0.021307537332177162
quantization_sensitivity_t0092,completed,0.3857,3,1024,3,0.125,24L-1024H,24,0.048964232206344604,0.02944488264620304,1.9020655155181885,0.27140378952026367,0.9510357677936554,0.23040607571601868,0.021307537332177162
quantization_sensitivity_t0093,completed,0.3861,4,1024,3,0.125,24L-1024H,24,0.14913471043109894,0.024929333478212357,1.7017251253128052,0.27140378952026367,0.8508652895689011,0.23040607571601868,0.021307537332177162
quantization_sensitivity_t0094,completed,0.3759,6,1024,3,0.125,24L-1024H,24,0.8019552826881409,0.005929870065301657,0.39608892798423767,0.27140378952026367,0.19804471731185913,0.23040607571601868,0.021307537332177162
quantization_sensitivity_t0095,completed,0.3845,8,1024,3,0.125,24L-1024H,24,0.9840971231460571,0.0005073300562798977,0.031806446611881256,0.27140378952026367,0.01590287685394287,0.23040607571601868,0.021307537332177162
quantization_sensitivity_t0096,completed,0.3106,16,1024,3,0.125,24L-1024H,24,1.0000004768371582,-4.656612873077393e-10,0.0,0.27140378952026367,-4.76837158203125e-07,0.23040607571601868,0.021307537332177162
quantization_sensitivity_t0097,completed,0.4167,2,1024,4,0.16666666666666666,24L-1024H,24,0.003266233019530773,0.029487214982509613,1.993461012840271,0.09130239486694336,0.9967337669804692,8.425941467285156,0.038290008902549744
quantization_sensitivity_t0098,completed,0.3729,3,1024,4,0.16666666666666666,24L-1024H,24,-0.009900443255901337,0.029830634593963623,2.019794464111328,0.09130239486694336,1.0099004432559013,8.425941467285156,0.038290008902549744
quantization_sensitivity_t0099,completed,0.3798,4,1024,4,0.16666666666666666,24L-1024H,24,-0.004584287293255329,0.03186168521642685,2.009161949157715,0.09130239486694336,1.0045842872932553,8.425941467285156,0.038290008902549744
quantization_sensitivity_t0100,completed,0.3796,6,1024,4,0.16666666666666666,24L-1024H,24,-0.011022979393601418,0.032408345490694046,2.0220394134521484,0.09130239486694336,1.0110229793936014,8.425941467285156,0.038290008902549744
